Timestamp	AWP (125 Hz)
229.088	0.190000
229.096	0.200000
229.104	0.210000
229.112	0.220000
229.12	0.220000
229.128	0.210000
229.136	0.200000
229.144	0.200000
229.152	0.200000
229.16	0.200000
229.168	0.200000
229.176	0.200000
229.184	0.200000
229.192	0.190000
229.2	0.180000
229.208	0.160000
229.216	0.150000
229.224	0.160000
229.232	0.160000
229.24	0.170000
229.248	0.170000
229.256	0.160000
229.264	0.160000
229.272	0.160000
229.28	0.150000
229.288	0.140000
229.296	0.130000
229.304	0.130000
229.312	0.140000
229.32	0.150000
229.328	0.150000
229.336	0.140000
229.344	0.140000
229.352	0.140000
229.36	0.140000
229.368	0.140000
229.376	0.140000
229.384	0.120000
229.392	0.110000
229.4	0.100000
229.408	0.100000
229.416	0.100000
229.424	0.100000
229.432	0.100000
229.44	0.090000
229.448	0.090000
229.456	0.090000
229.464	0.100000
229.472	0.110000
229.48	0.110000
229.488	0.110000
229.496	0.100000
229.504	0.090000
229.512	0.090000
229.52	0.080000
229.528	0.080000
229.536	0.070000
229.544	0.070000
229.552	0.080000
229.56	0.080000
229.568	0.080000
229.576	0.080000
229.584	0.080000
229.592	0.080000
229.6	0.080000
229.608	0.070000
229.616	0.070000
229.624	0.060000
229.632	0.060000
229.64	0.060000
229.648	0.060000
229.656	0.060000
229.664	0.060000
229.672	0.050000
229.68	0.060000
229.688	0.060000
229.696	0.060000
229.704	0.060000
229.712	0.060000
229.72	0.060000
229.728	0.060000
229.736	0.060000
229.744	0.060000
229.752	0.060000
229.76	0.050000
229.768	0.050000
229.776	0.050000
229.784	0.050000
229.792	0.050000
229.8	0.050000
229.808	0.040000
229.816	0.040000
229.824	0.030000
229.832	0.020000
229.84	0.010000
229.848	0.010000
229.856	0.020000
229.864	0.030000
229.872	0.030000
229.88	0.020000
229.888	0.010000
229.896	0.010000
229.904	0.020000
229.912	0.020000
229.92	0.030000
229.928	0.040000
229.936	0.050000
229.944	0.040000
229.952	0.030000
229.96	0.020000
229.968	0.020000
229.976	0.020000
229.984	0.020000
229.992	0.020000
230	0.030000
230.008	0.020000
230.016	0.020000
230.024	0.020000
230.032	0.020000
230.04	0.010000
230.048	0.010000
230.056	0.000000
230.064	0.000000
230.072	0.000000
230.08	0.000000
230.088	0.010000
230.096	0.010000
230.104	0.010000
230.112	0.000000
230.12	0.000000
230.128	0.010000
230.136	0.010000
230.144	0.010000
230.152	0.020000
230.16	0.020000
230.168	0.010000
230.176	0.010000
230.184	0.010000
230.192	0.010000
230.2	0.020000
230.208	0.030000
230.216	0.030000
230.224	0.020000
230.232	0.010000
230.24	0.010000
230.248	0.010000
230.256	0.020000
230.264	0.010000
230.272	0.000000
230.28	0.000000
230.288	0.000000
230.296	0.010000
230.304	0.010000
230.312	0.000000
230.32	0.000000
230.328	0.000000
230.336	0.000000
230.344	0.010000
230.352	0.010000
230.36	0.010000
230.368	0.010000
230.376	0.010000
230.384	0.010000
230.392	0.020000
230.4	0.020000
230.408	0.010000
230.416	0.000000
230.424	0.000000
230.432	-0.010000
230.44	-0.010000
230.448	-0.010000
230.456	-0.020000
230.464	-0.020000
230.472	-0.010000
230.48	0.000000
230.488	0.000000
230.496	0.000000
230.504	0.010000
230.512	0.010000
230.52	0.020000
230.528	0.020000
230.536	0.020000
230.544	0.000000
230.552	0.000000
230.56	-0.010000
230.568	-0.010000
230.576	-0.010000
230.584	0.000000
230.592	0.000000
230.6	0.000000
230.608	0.000000
230.616	0.000000
230.624	0.000000
230.632	0.000000
230.64	0.000000
230.648	0.000000
230.656	0.000000
230.664	-0.010000
230.672	-0.010000
230.68	-0.010000
230.688	0.000000
230.696	-0.010000
230.704	-0.010000
230.712	-0.010000
230.72	-0.010000
230.728	0.000000
