Timestamp	Resp (62.5 Hz)
239.328	0.614545
239.344	0.629444
239.36	0.644977
239.376	0.659876
239.392	0.674458
239.408	0.690625
239.424	0.708377
239.44	0.724861
239.456	0.740394
239.472	0.754976
239.488	0.769241
239.504	0.782872
239.52	0.795869
239.536	0.806647
239.552	0.814889
239.568	0.819644
239.584	0.820912
239.6	0.820278
239.616	0.817425
239.632	0.811402
239.648	0.802526
239.664	0.792699
239.68	0.781921
239.696	0.771777
239.712	0.762267
239.728	0.753074
239.744	0.744198
239.76	0.735322
239.776	0.727080
239.792	0.718838
239.808	0.710596
239.824	0.702354
239.84	0.694429
239.856	0.687772
239.872	0.682066
239.888	0.676994
239.904	0.672556
239.92	0.668752
239.936	0.665265
239.952	0.664314
239.968	0.665265
239.984	0.666533
240	0.667801
240.016	0.668435
240.032	0.668435
240.048	0.667801
240.064	0.666533
240.08	0.665265
240.096	0.663680
240.112	0.662729
240.128	0.662729
240.144	0.663363
240.16	0.663997
240.176	0.664314
240.192	0.664314
240.208	0.665899
240.224	0.668435
240.24	0.670971
240.256	0.673507
240.272	0.676043
240.288	0.678579
240.304	0.680164
240.32	0.680481
240.336	0.678896
240.352	0.675726
240.368	0.669386
240.384	0.660510
240.4	0.650683
240.416	0.639588
240.432	0.625006
240.448	0.607254
240.464	0.587283
240.48	0.565727
240.496	0.545122
240.512	0.525151
240.528	0.505814
240.544	0.487111
240.56	0.469993
240.576	0.453509
240.592	0.435123
240.608	0.414518
240.624	0.392645
240.64	0.370138
240.656	0.349850
240.672	0.330830
240.688	0.309274
240.704	0.285816
240.72	0.263309
240.736	0.241753
240.752	0.218295
240.768	0.192935
240.784	0.168526
240.8	0.145068
240.816	0.124463
240.832	0.106077
240.848	0.088642
240.864	0.071841
240.88	0.057893
240.896	0.045530
240.912	0.033484
240.928	0.020804
240.944	0.009075
240.96	-0.001386
240.976	-0.010262
240.992	-0.017870
241.008	-0.025478
241.024	-0.032769
241.04	-0.039109
241.056	-0.044181
241.072	-0.046717
241.088	-0.046717
241.104	-0.045132
241.12	-0.042279
241.136	-0.038792
241.152	-0.034354
241.168	-0.029599
241.184	-0.024527
241.2	-0.020406
241.216	-0.016919
241.232	-0.015334
241.248	-0.015017
241.264	-0.016602
241.28	-0.019455
241.296	-0.022625
241.312	-0.025795
241.328	-0.028965
241.344	-0.032135
241.36	-0.034988
241.376	-0.037841
241.392	-0.041645
241.408	-0.046400
241.424	-0.051789
241.44	-0.057178
241.456	-0.061933
241.472	-0.066371
241.488	-0.073345
241.504	-0.081904
241.52	-0.091097
241.536	-0.100607
241.552	-0.110117
241.568	-0.119310
241.584	-0.127552
241.6	-0.134843
241.616	-0.140232
241.632	-0.144036
241.648	-0.145621
241.664	-0.145304
241.68	-0.144036
241.696	-0.141817
241.712	-0.138964
241.728	-0.135794
241.744	-0.132941
241.76	-0.131039
241.776	-0.128503
241.792	-0.125333
241.808	-0.122797
241.824	-0.120895
241.84	-0.117408
241.856	-0.112653
241.872	-0.106947
241.888	-0.100290
241.904	-0.092365
241.92	-0.083172
241.936	-0.073345
241.952	-0.063201
241.968	-0.052423
241.984	-0.041962
242	-0.032135
242.016	-0.023576
242.032	-0.015651
242.048	-0.008360
242.064	-0.002971
242.08	0.001784
242.096	0.006222
242.112	0.010660
242.128	0.014147
242.144	0.017000
242.16	0.018902
242.176	0.020487
242.192	0.020487
242.208	0.018902
242.224	0.016049
242.24	0.011294
242.256	0.005905
242.272	-0.000435
242.288	-0.008360
242.304	-0.017236
242.32	-0.025795
242.336	-0.034354
242.352	-0.044815
242.368	-0.056227
242.384	-0.066688
242.4	-0.075881
242.416	-0.083172
242.432	-0.089195
242.448	-0.093950
242.464	-0.097437
242.48	-0.099022
242.496	-0.099339
242.512	-0.098705
242.528	-0.097437
242.544	-0.095535
242.56	-0.092682
242.576	-0.087927
242.592	-0.080953
242.608	-0.070492
242.624	-0.057495
242.64	-0.043864
242.656	-0.028965
242.672	-0.008043
242.688	0.018585
242.704	0.050602
242.72	0.086106
242.736	0.119708
242.752	0.152042
242.768	0.185644
242.784	0.220197
242.8	0.251580
242.816	0.279793
242.832	0.304836
242.848	0.327026
242.864	0.346046
242.88	0.362530
242.896	0.374893
242.912	0.384403
242.928	0.391377
242.944	0.396132
242.96	0.400570
242.976	0.405008
242.992	0.410080
243.008	0.416103
243.024	0.424028
243.04	0.432904
243.056	0.440829
243.072	0.447486
243.088	0.453192
243.104	0.458264
243.12	0.463019
243.136	0.467457
243.152	0.471578
243.168	0.475699
243.184	0.481722
243.2	0.489330
243.216	0.497255
243.232	0.505814
243.248	0.515958
243.264	0.528004
243.28	0.539099
243.296	0.549877
243.312	0.562240
243.328	0.575871
243.344	0.590770
243.36	0.605986
243.376	0.619617
243.392	0.632297
243.408	0.645928
243.424	0.660510
243.44	0.674458
243.456	0.688406
243.472	0.704256
243.488	0.721691
243.504	0.740394
243.52	0.759097
243.536	0.775581
243.552	0.789846
243.568	0.803794
243.584	0.816791
243.6	0.826301
243.616	0.832641
243.632	0.837079
243.648	0.838981
243.664	0.836762
243.68	0.830739
243.696	0.824082
243.712	0.816791
243.728	0.807281
243.744	0.795869
243.76	0.785091
243.776	0.774947
243.792	0.765437
243.808	0.755927
243.824	0.747051
243.84	0.738175
243.856	0.729933
243.872	0.721691
243.888	0.714400
243.904	0.708377
243.92	0.703305
243.936	0.698550
243.952	0.695697
243.968	0.694112
243.984	0.693161
244	0.693161
244.016	0.692527
244.032	0.691259
244.048	0.690942
244.064	0.690942
244.08	0.690625
244.096	0.689674
244.112	0.688406
244.128	0.686821
244.144	0.684919
244.16	0.683017
244.176	0.680798
244.192	0.678262
244.208	0.675726
244.224	0.673190
244.24	0.670654
244.256	0.668435
244.272	0.668435
244.288	0.670020
244.304	0.671922
244.32	0.673824
244.336	0.674775
244.352	0.674775
244.368	0.674141
244.384	0.673190
244.4	0.670337
244.416	0.666533
244.432	0.659559
244.448	0.649732
244.464	0.634516
244.48	0.615813
244.496	0.596793
244.512	0.577456
244.528	0.553364
244.544	0.525151
244.56	0.498206
244.576	0.471578
244.592	0.440512
244.608	0.405959
244.624	0.370772
244.64	0.335902
244.656	0.304519
244.672	0.276306
244.688	0.248093
244.704	0.219246
244.72	0.191984
244.736	0.165990
244.752	0.139045
244.768	0.111149
244.784	0.083253
244.8	0.055357
244.816	0.030948
244.832	0.009075
244.848	-0.011530
244.864	-0.030550
244.88	-0.046083
244.896	-0.058446
244.912	-0.069858
244.928	-0.080953
244.944	-0.090780
244.96	-0.099339
244.976	-0.106313
244.992	-0.111702
245.008	-0.116774
245.024	-0.121846
245.04	-0.125967
245.056	-0.128820
245.072	-0.131039
245.088	-0.131990
245.104	-0.130722
245.12	-0.127552
245.136	-0.122797
245.152	-0.117408
245.168	-0.111068
245.184	-0.104094
245.2	-0.097120
245.216	-0.089512
245.232	-0.080953
245.248	-0.071443
245.264	-0.062567
245.28	-0.054325
245.296	-0.047668
245.312	-0.042279
245.328	-0.038792
245.344	-0.036573
245.36	-0.035622
245.376	-0.035622
245.392	-0.036256
245.408	-0.037524
245.424	-0.039109
245.44	-0.041011
245.456	-0.042913
245.472	-0.045132
245.488	-0.048619
245.504	-0.053057
245.52	-0.056861
245.536	-0.060348
245.552	-0.065420
245.568	-0.072077
245.584	-0.080636
245.6	-0.090463
245.616	-0.098388
245.632	-0.104728
245.648	-0.110434
